t,kind,detail,fx,fy,com_x,com_y
0.0,state,STAND,,,,
0.004,state,ANKLE_RECOVER,,,,
0.005,state,STAND,,,,
0.071,state,ANKLE_RECOVER,,,,
0.0715,state,STAND,,,,
0.075,state,ANKLE_RECOVER,,,,
0.0755,state,STAND,,,,
0.076,state,ANKLE_RECOVER,,,,
0.0765,state,STAND,,,,
0.0805,state,ANKLE_RECOVER,,,,
0.081,state,STAND,,,,
0.0865,state,ANKLE_RECOVER,,,,
0.087,state,STAND,,,,
0.089,state,ANKLE_RECOVER,,,,
0.0895,state,STAND,,,,
0.11,state,ANKLE_RECOVER,,,,
0.1105,state,STAND,,,,
0.1215,state,ANKLE_RECOVER,,,,
0.122,state,STAND,,,,
0.137,state,ANKLE_RECOVER,,,,
0.1375,state,STAND,,,,
0.1555,state,ANKLE_RECOVER,,,,
0.156,state,STAND,,,,
0.163,state,ANKLE_RECOVER,,,,
0.1655,state,STAND,,,,
0.167,state,ANKLE_RECOVER,,,,
0.168,state,STAND,,,,
0.175,state,ANKLE_RECOVER,,,,
0.176,state,STAND,,,,
0.1765,state,ANKLE_RECOVER,,,,
0.1775,state,STAND,,,,
0.1875,state,ANKLE_RECOVER,,,,
0.189,state,STAND,,,,
0.196,state,ANKLE_RECOVER,,,,
0.1965,state,STAND,,,,
0.202,state,ANKLE_RECOVER,,,,
0.203,state,STAND,,,,
0.206,state,ANKLE_RECOVER,,,,
0.2065,state,STAND,,,,
0.222,state,ANKLE_RECOVER,,,,
0.2225,state,STAND,,,,
0.2455,state,ANKLE_RECOVER,,,,
0.246,state,STAND,,,,
0.2475,state,ANKLE_RECOVER,,,,
0.248,state,STAND,,,,
0.275,state,ANKLE_RECOVER,,,,
0.276,state,STAND,,,,
0.281,state,ANKLE_RECOVER,,,,
0.2825,state,STAND,,,,
0.294,state,ANKLE_RECOVER,,,,
0.2945,state,STAND,,,,
0.31,state,ANKLE_RECOVER,,,,
0.311,state,STAND,,,,
0.32,state,ANKLE_RECOVER,,,,
0.3205,state,STAND,,,,
0.4125,state,ANKLE_RECOVER,,,,
0.413,state,STAND,,,,
0.4185,state,ANKLE_RECOVER,,,,
0.4195,state,STAND,,,,
0.422,state,ANKLE_RECOVER,,,,
0.4225,state,STAND,,,,
0.4425,state,ANKLE_RECOVER,,,,
0.443,state,STAND,,,,
0.4465,state,ANKLE_RECOVER,,,,
0.448,state,STAND,,,,
0.4495,state,ANKLE_RECOVER,,,,
0.45,state,STAND,,,,
0.4515,state,ANKLE_RECOVER,,,,
0.4535,state,STAND,,,,
0.468,state,ANKLE_RECOVER,,,,
0.4685,state,STAND,,,,
0.4715,state,ANKLE_RECOVER,,,,
0.472,state,STAND,,,,
0.4825,state,ANKLE_RECOVER,,,,
0.483,state,STAND,,,,
0.4845,state,ANKLE_RECOVER,,,,
0.485,state,STAND,,,,
0.49,state,ANKLE_RECOVER,,,,
0.4905,state,STAND,,,,
0.5135,state,ANKLE_RECOVER,,,,
0.514,state,STAND,,,,
0.5165,state,ANKLE_RECOVER,,,,
0.517,state,STAND,,,,
0.5185,state,ANKLE_RECOVER,,,,
0.5195,state,STAND,,,,
0.5285,state,ANKLE_RECOVER,,,,
0.529,state,STAND,,,,
0.5455,state,ANKLE_RECOVER,,,,
0.546,state,STAND,,,,
0.5475,state,ANKLE_RECOVER,,,,
0.5515,state,STAND,,,,
0.5555,state,ANKLE_RECOVER,,,,
0.5565,state,STAND,,,,
0.5605,state,ANKLE_RECOVER,,,,
0.561,state,STAND,,,,
0.5875,state,ANKLE_RECOVER,,,,
0.5885,state,STAND,,,,
0.5955,state,ANKLE_RECOVER,,,,
0.596,state,STAND,,,,
0.602,state,ANKLE_RECOVER,,,,
0.6025,state,STAND,,,,
0.6255,state,ANKLE_RECOVER,,,,
0.626,state,STAND,,,,
0.627,state,ANKLE_RECOVER,,,,
0.6275,state,STAND,,,,
0.647,state,ANKLE_RECOVER,,,,
0.6475,state,STAND,,,,
0.7035,state,ANKLE_RECOVER,,,,
0.704,state,STAND,,,,
0.747,state,ANKLE_RECOVER,,,,
0.7475,state,STAND,,,,
0.765,state,ANKLE_RECOVER,,,,
0.7655,state,STAND,,,,
0.7735,state,ANKLE_RECOVER,,,,
0.774,state,STAND,,,,
0.7765,state,ANKLE_RECOVER,,,,
0.777,state,STAND,,,,
0.779,state,ANKLE_RECOVER,,,,
0.7795,state,STAND,,,,
0.787,state,ANKLE_RECOVER,,,,
0.7875,state,STAND,,,,
0.801,state,ANKLE_RECOVER,,,,
0.8015,state,STAND,,,,
0.8125,state,ANKLE_RECOVER,,,,
0.813,state,STAND,,,,
0.814,state,ANKLE_RECOVER,,,,
0.8145,state,STAND,,,,
