t,com_x,com_y,com_z,vel_x,vel_y,speed,cp_x,cp_y,cp_margin,roll,pitch,yaw,tilt,lf_x,lf_y,lf_z,rf_x,rf_y,rf_z,left_contact,right_contact,state
0.0,-0.008016700078825602,0.001530042687384429,0.23283827928205397,-0.009320955945148531,0.007072604670831019,0.011700510952999467,-0.00945269578788709,0.0026196551712292645,0.044405190910315126,0.001130733658308026,-7.152184411825706e-05,-0.00023658159686411993,0.001130733658308026,-0.015046471063045769,0.03700441160473133,0.03066193489643071,-0.015055160653382228,-0.03349554435577264,0.03058391915494746,0,0,STAND
0.005,-0.008050771260772244,0.0015641977173139255,0.23232279252604898,0.018509043013002734,0.015390091714046306,0.024071551595689508,-0.005202408031583268,0.003932584418957006,0.04019116285197938,0.001335861430731683,-0.0004831248681540612,-0.0008881368249559921,0.001335861430731683,-0.014998989894441012,0.03708245269787195,0.030146076216574336,-0.01511925424035581,-0.033417495190347424,0.03012077334606446,1,1,STAND
0.01,-0.00796096473519384,0.0016323118162892333,0.23207442391699018,0.03435311345785941,0.01421306479302477,0.03717724593160824,-0.0026771784827018122,0.003818395952485087,0.037380255460409795,0.0011180469550371923,-0.003025030545450439,-0.0007050193065410313,0.003025030545450439,-0.015285203868432268,0.03711585540177918,0.03061304657564312,-0.015397959085196408,-0.033383871727033575,0.03059215069407631,1,1,STAND
0.015,-0.007858405036117878,0.001691463154671272,0.23183677162956703,-0.016958668092424287,0.011469853912434156,0.0204732501631175,-0.010465449252525863,0.0034547157958862893,0.04548940535072166,0.0008807481006424541,-0.000833453996072694,-0.0014660287998509293,0.0008807481006424541,-0.01501143120294679,0.03713414273737457,0.02994620576854197,-0.014969618235299305,-0.03336600348457289,0.02984631359984627,1,1,STAND
0.02,-0.007873896887224206,0.0017346754573517437,0.23243930922379832,0.006318580877583999,0.00805963048459759,0.010241196602683935,-0.006901284417761539,0.0029752858508010982,0.04203789334050934,0.0006970255758083449,7.172466505812793e-05,-0.0014317011490272305,0.0006970255758083449,-0.01486379297175832,0.037136630192472334,0.030219399380880543,-0.014863322010707676,-0.03336342238179444,0.030122887265711454,1,1,STAND
0.025,-0.007853904384824445,0.0017734622671687142,0.23317019659436308,0.00037036645987989763,0.008175770694089191,0.008184155286706846,-0.007796804705905454,0.0030339270557437135,0.04318196936753053,0.0005914240653256002,-0.0013534899062289775,-0.0013174972380028394,0.0013534899062289775,-0.014604888462520928,0.03715375739490479,0.030960801145305153,-0.014690972094999352,-0.033346163683929994,0.030918126881442576,0,0,STAND
0.03,-0.007833764096324925,0.0018122407956684577,0.23365569774699368,-0.0009631997252489637,0.008263746547319218,0.008319691142647663,-0.007982415849055131,0.0030875945734736535,0.04363348489799616,0.0004922162842173639,-0.0025620335506863824,-0.0013788608413605045,0.0025620335506863824,-0.014337806416549553,0.037172447607253474,0.031436666572001684,-0.014434454825140872,-0.033327472665910914,0.031401311946517935,0,0,STAND
0.035,-0.007813584310382066,0.0018510081125151774,0.233896110076205,-0.0009726700535034064,0.008266753793374207,0.008323779508927969,-0.007963774837293434,0.003127482188797698,0.043881033181099614,0.0003937625350477797,-0.003768822660521945,-0.0014480823242795872,0.003768822660521945,-0.014071087303966445,0.03719139928896168,0.0316674459299323,-0.014172579559352388,-0.033308515661491046,0.031638977829496845,0,0,STAND
0.04,-0.007793408572598993,0.001889767241491531,0.23389149532140666,-0.0009705562049647128,0.008265852842398705,0.008322637956753032,-0.007943271220563418,0.0031660896103657605,0.04412660004225208,0.00029548434898248564,-0.004975376231943502,-0.0015169291272481619,0.004975376231943502,-0.013804487280815195,0.03721034519257837,0.0316535267840338,-0.013910827111774528,-0.03328956849209824,0.03163199599356596,0,0,STAND
0.045,-0.0077732372004796985,0.001928518260611378,0.2336419047590384,-0.0009681410947657313,0.00826309273800384,0.008319615302177499,-0.007922647150488037,0.0032037334948104438,0.04437200955529503,0.0001973609026840544,-0.0061816836363396445,-0.0015855073054392738,0.0061816836363396445,-0.013537922180997988,0.037229279605965296,0.031394928061935876,-0.013649134965458616,-0.03327063151022297,0.03138032353721415,0,0,STAND
0.05,-0.007742025515803537,0.00195593810326484,0.23328280425662085,0.044094720392427726,-0.0001584723398705668,0.044095005158962,-0.0009422675731300869,0.0019315004031923847,0.03743930133809716,0.00014703956655063365,-0.008212758673632999,-0.0014394248312640146,0.008212758673632999,-0.01348713109194278,0.03724579249090971,0.03130693183295176,-0.0136065814219812,-0.03325460484969727,0.03131040711231009,1,1,STAND
0.055,-0.007687740017570244,0.001956066074637339,0.23306140119267868,-0.027832381169420207,6.921436181792522e-05,0.027832467231414797,-0.011977678222893362,0.001966734415707848,0.04848586718273349,4.406713549349369e-05,-0.007853712364494001,-0.0011321927315432754,0.007853712364494001,-0.013478143441870323,0.03722377400808386,0.031157017612882462,-0.013581833990989264,-0.03327615671802557,0.03117116259466768,0,0,STAND
0.06,-0.007581312697114626,0.0019464093085362797,0.23276766719777642,0.061322559896786304,-0.005062788111888268,0.061531196768475266,0.0018646689937556367,0.0011665494349409108,0.03488642780568893,3.1074742804041116e-06,-0.007719850861021182,-0.0011325773937966193,0.007719850861021182,-0.013238142243408128,0.0372065696477307,0.030632067066440727,-0.013313564263381449,-0.03329329846280298,0.030631400393430624,1,1,STAND
0.065,-0.007410393639790233,0.0019232466277135677,0.23266489817063027,0.02196761672033409,-0.006280003312915001,0.02284763939626423,-0.0040273011400180254,0.0009561033833214086,0.04056084444793642,-0.00013484229215841888,-0.008572322834567315,-0.0006286608325963043,0.008572322834567315,-0.013460195588160306,0.03715649285712484,0.03104232239118386,-0.013503416522388664,-0.03334349270004299,0.031043985391129167,0,0,STAND
0.07,-0.007202708518542598,0.001888819837827988,0.23244735592400081,0.06132726680348444,-0.0037478789594029864,0.061441681701269374,0.002237496175226736,0.0013119028091006428,0.03489515670883659,-0.00030315290316279233,-0.005723050315264734,-0.00031721165362223053,0.005723050315264734,-0.012913148985743146,0.03706829372317067,0.03004061205597644,-0.01286085435086734,-0.033427760040799954,0.03000424323068894,1,1,STAND
