kind,t,side,x,y
planned,1.9485000000000001,left,0.04093845028972564,0.014993783658273668
planned,2.912,right,0.10651562228627853,-0.01282204074563974
planned,3.872,left,0.1969261513864789,0.01516621936748818
planned,4.8325000000000005,right,0.2867131187474896,-0.012766513741386827
planned,5.7940000000000005,left,0.3800027156198409,0.020231523882545985
planned,6.752,right,0.465873520210162,-0.00047930952691551537
planned,7.7175,left,0.5588826602174453,0.035113917232702345
planned,8.675,right,0.6421299273652935,0.018389661320994337
planned,9.6325,left,0.73476692923788,0.054182841978446916
planned,10.594,right,0.8359276190946772,0.01819708443552248
planned,11.5525,left,0.9188222725638985,0.037571202297954694
planned,12.513,right,1.0132255582930565,-0.005538335289751811
planned,13.4725,left,1.0934104391771053,0.00599421357763659
planned,14.432,right,1.1897251685869508,-0.03985205857541857
actual,1.361,left,0.07192384682926105,0.03716694518929738
actual,2.321,right,0.16153461509953043,-0.034630368809102856
actual,3.281,left,0.2512972343007954,0.03718391631113007
actual,4.2485,right,0.345560639568482,-0.030714721821642997
actual,5.2025,left,0.42867911169386347,0.049750869302135334
actual,6.161,right,0.526204842362496,-0.010857586452376371
actual,7.118,left,0.6074634521548546,0.07046845188627311
actual,8.0805,right,0.7009484501153883,0.0061687282704016785
actual,9.0405,left,0.7989921868703418,0.06990270989223409
actual,10.005,right,0.8812869192079431,-0.014495285966303454
actual,10.961,left,0.9809763217893716,0.042275805638360545
actual,11.9205,right,1.056354022460897,-0.044480202763015196
actual,12.881,left,1.156828497391686,0.007764782658447041
actual,13.841,right,1.232347398302888,-0.07908993463994546
